                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4019,                 2.0836,                 1.1499,                0.90903,                0.77778,                0.86415,                0.52848,                 1.3284,                 2.3551,                 1.1065,                0.00056,                0.00056,                0.00056
                      2,                 1.2305,                 0.9329,                 1.0389,                0.69587,                0.64444,                0.72979,                0.39865,                 1.5081,                 1.4314,                 1.1817,              0.0011024,              0.0011024,              0.0011024
                      3,                 1.2564,                0.87234,                 1.0458,                0.81158,                0.87778,                0.87819,                0.47613,                 1.4851,                 1.3536,                 1.1872,              0.0016065,              0.0016065,              0.0016065
                      4,                 1.2534,                0.84151,                  1.061,                0.37138,                0.53333,                 0.3933,                0.23672,                 1.4125,                 3.5145,                 1.1527,               0.001802,               0.001802,               0.001802
                      5,                 1.2031,                0.76991,                 1.0466,                0.87846,                0.80308,                 0.8822,                 0.5403,                 1.3497,                0.89994,                 1.1425,               0.001802,               0.001802,               0.001802
                      6,                 1.1758,                0.70709,                 1.0312,                0.97025,                0.84444,                0.91872,                0.58424,                 1.2724,                0.82574,                 1.1096,               0.001736,               0.001736,               0.001736
                      7,                 1.1697,                 0.7142,                 1.0611,                0.85036,                  0.884,                0.92201,                0.57647,                 1.2699,                0.89926,                   1.08,                0.00167,                0.00167,                0.00167
                      8,                 1.1251,                0.70138,                  1.013,                0.95884,                0.87778,                0.94786,                0.59382,                 1.2175,                 0.7915,                 1.0823,               0.001604,               0.001604,               0.001604
                      9,                 1.1359,                0.68817,                 1.0109,                0.96827,                0.92222,                0.96549,                 0.6151,                 1.1974,                0.67992,                 1.0392,               0.001538,               0.001538,               0.001538
                     10,                   1.05,                0.64527,                0.99484,                0.91434,                0.94884,                0.96954,                0.61841,                 1.1992,                0.66697,                 1.0488,               0.001472,               0.001472,               0.001472
                     11,                 1.1189,                0.69245,                 1.0149,                0.96432,                0.90091,                0.95375,                 0.6248,                 1.1456,                0.69509,                 1.0329,               0.001406,               0.001406,               0.001406
                     12,                 1.0597,                0.63755,                0.98052,                0.95364,                0.91436,                0.94781,                 0.6498,                 1.1132,                 0.6316,                 1.0147,                0.00134,                0.00134,                0.00134
                     13,                 1.0318,                0.63632,                0.97606,                0.91462,                0.92222,                0.96126,                0.64868,                 1.1335,                0.66202,                 1.0171,               0.001274,               0.001274,               0.001274
                     14,                 1.0176,                0.63484,                0.97497,                0.93398,                0.94308,                0.96768,                0.68204,                 1.0433,                0.62784,                 0.9768,               0.001208,               0.001208,               0.001208
                     15,                0.99717,                  0.604,                0.96194,                0.94257,                0.91181,                 0.9608,                0.64762,                 1.1556,                0.62881,                 1.0389,               0.001142,               0.001142,               0.001142
                     16,                0.99212,                0.59163,                0.96687,                0.95368,                0.91507,                0.96256,                0.60521,                 1.2055,                0.68651,                 1.0351,               0.001076,               0.001076,               0.001076
                     17,                0.97677,                0.57718,                0.95721,                0.96385,                0.88869,                0.95276,                0.67044,                 1.0779,                0.61348,                 1.0004,                0.00101,                0.00101,                0.00101
                     18,                0.93244,                0.57067,                0.94183,                0.95435,                0.92926,                0.94874,                0.64829,                  1.156,                0.59842,                 1.0566,               0.000944,               0.000944,               0.000944
                     19,                0.94284,                0.55837,                0.94695,                0.93485,                0.88889,                0.96335,                0.65216,                 1.1061,                0.61041,                 1.0128,               0.000878,               0.000878,               0.000878
                     20,                0.90275,                 0.5469,                0.92845,                0.88165,                    0.9,                0.94801,                0.64308,                 1.1162,                0.69319,                 1.0048,               0.000812,               0.000812,               0.000812
                     21,                0.87844,                0.50953,                0.91156,                0.93002,                0.88597,                0.94649,                0.66105,                 1.1315,                0.66461,                 1.0301,               0.000746,               0.000746,               0.000746
                     22,                 0.9091,                0.49561,                 0.9292,                0.78075,                0.92222,                0.92784,                0.63186,                  1.143,                0.74479,                 1.0314,                0.00068,                0.00068,                0.00068
                     23,                0.90305,                0.49246,                0.93233,                0.88394,                0.91111,                0.95266,                0.64158,                 1.1116,                0.68007,                 1.0062,               0.000614,               0.000614,               0.000614
                     24,                0.84569,                0.47867,                 0.9045,                0.94255,                0.91144,                0.96176,                0.66431,                 1.0813,                0.57481,                0.99603,               0.000548,               0.000548,               0.000548
                     25,                0.83293,                0.48121,                 0.9086,                0.95452,                    0.9,                0.97008,                 0.6737,                 1.0642,                 0.5783,                 0.9832,               0.000482,               0.000482,               0.000482
                     26,                 0.8188,                0.46183,                0.90905,                0.95522,                0.94816,                0.98216,                0.69623,                 1.0345,                0.54565,                0.98401,               0.000416,               0.000416,               0.000416
                     27,                0.80334,                 0.4478,                0.90209,                0.97335,                0.93333,                0.98301,                0.68888,                 1.0728,                 0.5566,                 1.0045,                0.00035,                0.00035,                0.00035
                     28,                0.78511,                0.44247,                0.88865,                0.96583,                0.94222,                0.97513,                0.69342,                 1.0687,                0.55953,                   1.02,               0.000284,               0.000284,               0.000284
                     29,                0.79125,                0.43574,                 0.8933,                 0.9743,                0.93333,                0.97759,                0.70347,                 1.0362,                0.54859,                 1.0021,               0.000218,               0.000218,               0.000218
                     30,                0.77536,                0.43304,                0.88808,                0.96541,                0.93032,                0.98115,                0.70204,                 1.0346,                0.54607,                0.99153,               0.000152,               0.000152,               0.000152
